Countries or Regions,Currency Code,Billing Plan,Price,Year 1 Proceeds,Year 2 Proceeds
Afghanistan,USD,Upfront,5.99,4.2,5.09
Albania,USD,Upfront,6.99,4.08,4.95
Algeria,USD,Upfront,5.99,4.2,5.09
Angola,USD,Upfront,5.99,4.2,5.09
Anguilla,USD,Upfront,5.99,4.2,5.09
Antigua and Barbuda,USD,Upfront,5.99,4.2,5.09
Argentina,USD,Upfront,5.99,4.2,5.09
Armenia,USD,Upfront,6.99,4.08,4.95
Australia,AUD,Upfront,9.99,6.36,7.72
Austria,EUR,Upfront,6.99,4.08,4.95
Azerbaijan,USD,Upfront,6.99,4.15,5.04
Bahamas,USD,Upfront,6.99,4.45,5.4
Bahrain,USD,Upfront,6.99,4.45,5.4
Barbados,USD,Upfront,6.99,4.16,5.06
Belarus,USD,Upfront,6.99,4.08,4.95
Belgium,EUR,Upfront,6.99,4.04,4.91
Belize,USD,Upfront,5.99,4.2,5.09
Benin,USD,Upfront,6.99,4.15,5.04
Bermuda,USD,Upfront,5.99,4.2,5.09
Bhutan,USD,Upfront,5.99,3.99,4.85
Bolivia,USD,Upfront,5.99,4.2,5.09
Bosnia and Herzegovina,EUR,Upfront,6.99,4.18,5.08
Botswana,USD,Upfront,5.99,4.2,5.09
Brazil,BRL,Upfront,39.9,24.4,29.63
British Virgin Islands,USD,Upfront,5.99,4.2,5.09
Brunei,USD,Upfront,5.99,4.2,5.09
Bulgaria,EUR,Upfront,6.99,4.08,4.95
Burkina Faso,USD,Upfront,5.99,4.2,5.09
Cambodia,USD,Upfront,6.99,4.45,5.4
Cameroon,USD,Upfront,6.99,4.1,4.98
Canada,CAD,Upfront,7.99,5.59,6.79
Cape Verde,USD,Upfront,5.99,4.2,5.09
Cayman Islands,USD,Upfront,5.99,4.2,5.09
Chad,USD,Upfront,5.99,4.2,5.09
Chile,CLP,Upfront,6990,4112,4993
China mainland,CNY,Upfront,38.0,26.13,32.01
Colombia,COP,Upfront,29900.0,17588.24,21357.14
"Congo, Democratic Republic of the",USD,Upfront,5.99,4.2,5.09
"Congo, Republic of the",USD,Upfront,5.99,3.55,4.31
Costa Rica,USD,Upfront,5.99,4.2,5.09
Côte d’Ivoire,USD,Upfront,6.99,4.15,5.04
Croatia,EUR,Upfront,6.99,3.91,4.75
Cyprus,EUR,Upfront,6.99,4.11,4.99
Czech Republic,CZK,Upfront,149.0,86.2,104.67
Denmark,DKK,Upfront,49.0,27.44,33.32
Dominica,USD,Upfront,5.99,4.2,5.09
Dominican Republic,USD,Upfront,5.99,4.2,5.09
Ecuador,USD,Upfront,5.99,4.2,5.09
Egypt,EGP,Upfront,299.99,184.2,223.68
El Salvador,USD,Upfront,5.99,4.2,5.09
Estonia,EUR,Upfront,6.99,3.95,4.79
Eswatini,USD,Upfront,5.99,4.2,5.09
Fiji,USD,Upfront,5.99,4.2,5.09
Finland,EUR,Upfront,6.99,3.9,4.73
France,EUR,Upfront,6.99,4.08,4.95
Gabon,USD,Upfront,5.99,4.2,5.09
Gambia,USD,Upfront,5.99,4.2,5.09
Georgia,USD,Upfront,6.99,4.15,5.04
Germany,EUR,Upfront,6.99,4.11,4.99
Ghana,USD,Upfront,6.99,4.08,4.95
Greece,EUR,Upfront,6.99,3.95,4.79
Grenada,USD,Upfront,5.99,4.2,5.09
Guatemala,USD,Upfront,5.99,4.2,5.09
Guinea-Bissau,USD,Upfront,5.99,4.2,5.09
Guyana,USD,Upfront,5.99,4.2,5.09
Honduras,USD,Upfront,5.99,4.2,5.09
Hong Kong,HKD,Upfront,48.0,33.6,40.8
Hungary,HUF,Upfront,2490,1372,1667
Iceland,USD,Upfront,6.99,3.95,4.79
India,INR,Upfront,599.0,355.34,431.48
Indonesia,IDR,Upfront,99000,62432,75811
Iraq,USD,Upfront,5.99,4.2,5.09
Ireland,EUR,Upfront,6.99,3.98,4.83
Israel,ILS,Upfront,19.9,13.93,16.92
Italy,EUR,Upfront,6.99,3.98,4.85
Jamaica,USD,Upfront,5.99,4.2,5.09
Japan,JPY,Upfront,1000,636,773
Jordan,USD,Upfront,5.99,4.2,5.09
Kazakhstan,KZT,Upfront,3490.0,2106.03,2557.33
Kenya,USD,Upfront,6.99,4.2,5.11
"Korea, Republic of",KRW,Upfront,9900,6300,7650
Kosovo,EUR,Upfront,6.99,4.15,5.04
Kuwait,USD,Upfront,5.99,4.2,5.09
Kyrgyzstan,USD,Upfront,6.99,4.37,5.3
Laos,USD,Upfront,6.99,4.45,5.4
Latvia,EUR,Upfront,6.99,4.04,4.91
Lebanon,USD,Upfront,5.99,4.2,5.09
Liberia,USD,Upfront,5.99,4.2,5.09
Libya,USD,Upfront,5.99,4.2,5.09
Lithuania,EUR,Upfront,6.99,4.04,4.91
Luxembourg,EUR,Upfront,6.99,4.18,5.08
Macau,USD,Upfront,5.99,4.2,5.09
Madagascar,USD,Upfront,5.99,4.2,5.09
Malawi,USD,Upfront,5.99,4.2,5.09
Malaysia,MYR,Upfront,29.9,19.38,23.53
Maldives,USD,Upfront,5.99,4.2,5.09
Mali,USD,Upfront,5.99,4.2,5.09
Malta,EUR,Upfront,6.99,4.15,5.04
Mauritania,USD,Upfront,5.99,4.2,5.09
Mauritius,USD,Upfront,6.99,4.25,5.17
Mexico,MXN,Upfront,129.0,77.84,94.53
Micronesia,USD,Upfront,5.99,4.2,5.09
Moldova,USD,Upfront,6.99,4.08,4.95
Mongolia,USD,Upfront,5.99,4.2,5.09
Montenegro,EUR,Upfront,5.99,4.19,5.09
Montserrat,USD,Upfront,5.99,4.2,5.09
Morocco,USD,Upfront,5.99,3.49,4.24
Mozambique,USD,Upfront,5.99,4.2,5.09
Myanmar,USD,Upfront,5.99,4.2,5.09
Namibia,USD,Upfront,5.99,4.2,5.09
Nauru,USD,Upfront,5.99,4.2,5.09
Nepal,USD,Upfront,6.99,4.24,5.15
Netherlands,EUR,Upfront,6.99,4.04,4.91
New Zealand,NZD,Upfront,9.99,6.08,7.38
Nicaragua,USD,Upfront,5.99,4.2,5.09
Niger,USD,Upfront,5.99,4.2,5.09
Nigeria,NGN,Upfront,9900.0,6446.51,7827.91
North Macedonia,USD,Upfront,5.99,4.2,5.09
Norway,NOK,Upfront,79.0,44.24,53.72
Oman,USD,Upfront,5.99,3.99,4.85
Pakistan,PKR,Upfront,1700.0,1190.0,1445.0
Palau,USD,Upfront,5.99,4.2,5.09
Panama,USD,Upfront,5.99,4.2,5.09
Papua New Guinea,USD,Upfront,5.99,4.2,5.09
Paraguay,USD,Upfront,5.99,4.2,5.09
Peru,PEN,Upfront,24.9,14.77,17.94
Philippines,PHP,Upfront,399.0,249.38,302.81
Poland,PLN,Upfront,29.99,17.07,20.72
Portugal,EUR,Upfront,6.99,3.98,4.83
Qatar,QAR,Upfront,19.99,13.99,16.99
