Countries or Regions,Currency Code,Billing Plan,Price,Year 1 Proceeds,Year 2 Proceeds
Afghanistan,USD,Upfront,39.99,28.0,33.99
Albania,USD,Upfront,49.99,29.16,35.41
Algeria,USD,Upfront,39.99,28.0,33.99
Angola,USD,Upfront,39.99,28.0,33.99
Anguilla,USD,Upfront,39.99,28.0,33.99
Antigua and Barbuda,USD,Upfront,39.99,28.0,33.99
Argentina,USD,Upfront,39.99,28.0,33.99
Armenia,USD,Upfront,49.99,29.16,35.41
Australia,AUD,Upfront,59.99,38.18,46.36
Austria,EUR,Upfront,44.99,26.24,31.87
Azerbaijan,USD,Upfront,49.99,29.66,36.01
Bahamas,USD,Upfront,39.99,25.45,30.9
Bahrain,USD,Upfront,39.99,25.45,30.9
Barbados,USD,Upfront,49.99,29.78,36.16
Belarus,USD,Upfront,49.99,29.16,35.41
Belgium,EUR,Upfront,44.99,26.03,31.6
Belize,USD,Upfront,39.99,28.0,33.99
Benin,USD,Upfront,49.99,29.66,36.01
Bermuda,USD,Upfront,39.99,28.0,33.99
Bhutan,USD,Upfront,39.99,26.66,32.37
Bolivia,USD,Upfront,39.99,28.0,33.99
Bosnia and Herzegovina,EUR,Upfront,44.99,26.92,32.69
Botswana,USD,Upfront,39.99,28.0,33.99
Brazil,BRL,Upfront,249.9,152.85,185.6
British Virgin Islands,USD,Upfront,39.99,28.0,33.99
Brunei,USD,Upfront,39.99,28.0,33.99
Bulgaria,EUR,Upfront,44.99,26.24,31.87
Burkina Faso,USD,Upfront,39.99,28.0,33.99
Cambodia,USD,Upfront,39.99,25.45,30.9
Cameroon,USD,Upfront,49.99,29.34,35.63
Canada,CAD,Upfront,49.99,34.99,42.49
Cape Verde,USD,Upfront,39.99,28.0,33.99
Cayman Islands,USD,Upfront,39.99,28.0,33.99
Chad,USD,Upfront,39.99,28.0,33.99
Chile,CLP,Upfront,49990,29406,35707
China mainland,CNY,Upfront,298.0,204.91,251.04
Colombia,COP,Upfront,199900.0,117588.24,142785.71
"Congo, Democratic Republic of the",USD,Upfront,39.99,28.0,33.99
"Congo, Republic of the",USD,Upfront,39.99,23.72,28.81
Costa Rica,USD,Upfront,39.99,28.0,33.99
Côte d’Ivoire,USD,Upfront,49.99,29.66,36.01
Croatia,EUR,Upfront,44.99,25.19,30.59
Cyprus,EUR,Upfront,44.99,26.46,32.14
Czech Republic,CZK,Upfront,999.0,577.93,701.78
Denmark,DKK,Upfront,349.0,195.44,237.32
Dominica,USD,Upfront,39.99,28.0,33.99
Dominican Republic,USD,Upfront,39.99,28.0,33.99
Ecuador,USD,Upfront,39.99,28.0,33.99
Egypt,EGP,Upfront,1999.99,1228.06,1491.22
El Salvador,USD,Upfront,39.99,28.0,33.99
Estonia,EUR,Upfront,44.99,25.4,30.84
Eswatini,USD,Upfront,39.99,28.0,33.99
Fiji,USD,Upfront,39.99,28.0,33.99
Finland,EUR,Upfront,44.99,25.09,30.47
France,EUR,Upfront,44.99,26.24,31.87
Gabon,USD,Upfront,39.99,28.0,33.99
Gambia,USD,Upfront,39.99,28.0,33.99
Georgia,USD,Upfront,49.99,29.66,36.01
Germany,EUR,Upfront,44.99,26.46,32.14
Ghana,USD,Upfront,49.99,29.16,35.41
Greece,EUR,Upfront,44.99,25.4,30.84
Grenada,USD,Upfront,39.99,28.0,33.99
Guatemala,USD,Upfront,39.99,28.0,33.99
Guinea-Bissau,USD,Upfront,39.99,28.0,33.99
Guyana,USD,Upfront,39.99,28.0,33.99
Honduras,USD,Upfront,39.99,28.0,33.99
Hong Kong,HKD,Upfront,288.0,201.6,244.8
Hungary,HUF,Upfront,17990,9916,12041
Iceland,USD,Upfront,49.99,28.22,34.27
India,INR,Upfront,3999.0,2372.29,2880.64
Indonesia,IDR,Upfront,699000,440811,535270
Iraq,USD,Upfront,39.99,28.0,33.99
Ireland,EUR,Upfront,44.99,25.6,31.09
Israel,ILS,Upfront,149.9,104.93,127.42
Italy,EUR,Upfront,44.99,25.6,31.22
Jamaica,USD,Upfront,39.99,28.0,33.99
Japan,JPY,Upfront,6000,3818,4636
Jordan,USD,Upfront,39.99,28.0,33.99
Kazakhstan,KZT,Upfront,22990.0,13873.28,16846.12
Kenya,USD,Upfront,49.99,30.03,36.55
"Korea, Republic of",KRW,Upfront,66000,42000,51000
Kosovo,EUR,Upfront,44.99,26.69,32.41
Kuwait,USD,Upfront,39.99,28.0,33.99
Kyrgyzstan,USD,Upfront,39.99,24.99,30.35
Laos,USD,Upfront,39.99,25.45,30.9
Latvia,EUR,Upfront,44.99,26.03,31.6
Lebanon,USD,Upfront,39.99,28.0,33.99
Liberia,USD,Upfront,39.99,28.0,33.99
Libya,USD,Upfront,39.99,28.0,33.99
Lithuania,EUR,Upfront,44.99,26.03,31.6
Luxembourg,EUR,Upfront,44.99,26.92,32.69
Macau,USD,Upfront,39.99,28.0,33.99
Madagascar,USD,Upfront,39.99,28.0,33.99
Malawi,USD,Upfront,39.99,28.0,33.99
Malaysia,MYR,Upfront,199.9,129.56,157.33
Maldives,USD,Upfront,39.99,28.0,33.99
Mali,USD,Upfront,39.99,28.0,33.99
Malta,EUR,Upfront,44.99,26.69,32.41
Mauritania,USD,Upfront,39.99,28.0,33.99
Mauritius,USD,Upfront,49.99,30.43,36.95
Mexico,MXN,Upfront,899.0,542.5,658.75
Micronesia,USD,Upfront,39.99,28.0,33.99
Moldova,USD,Upfront,49.99,29.16,35.41
Mongolia,USD,Upfront,39.99,28.0,33.99
Montenegro,EUR,Upfront,39.99,27.99,33.99
Montserrat,USD,Upfront,39.99,28.0,33.99
Morocco,USD,Upfront,39.99,23.33,28.33
Mozambique,USD,Upfront,39.99,28.0,33.99
Myanmar,USD,Upfront,39.99,28.0,33.99
Namibia,USD,Upfront,39.99,28.0,33.99
Nauru,USD,Upfront,39.99,28.0,33.99
Nepal,USD,Upfront,49.99,30.35,36.85
Netherlands,EUR,Upfront,44.99,26.03,31.6
New Zealand,NZD,Upfront,69.99,42.6,51.73
Nicaragua,USD,Upfront,39.99,28.0,33.99
Niger,USD,Upfront,39.99,28.0,33.99
Nigeria,NGN,Upfront,69900.0,45516.28,55269.77
North Macedonia,USD,Upfront,39.99,28.0,33.99
Norway,NOK,Upfront,499.0,279.44,339.32
Oman,USD,Upfront,39.99,26.66,32.37
Pakistan,PKR,Upfront,9900.0,6930.0,8415.0
Palau,USD,Upfront,39.99,28.0,33.99
Panama,USD,Upfront,39.99,28.0,33.99
Papua New Guinea,USD,Upfront,39.99,28.0,33.99
Paraguay,USD,Upfront,39.99,28.0,33.99
Peru,PEN,Upfront,179.9,106.72,129.59
Philippines,PHP,Upfront,2490.0,1556.25,1889.73
Poland,PLN,Upfront,199.99,113.82,138.2
Portugal,EUR,Upfront,44.99,25.6,31.09
Qatar,QAR,Upfront,149.99,104.99,127.49
Romania,RON,Upfront,199.99,115.7,140.49
Russia,RUB,Upfront,3490.0,2002.46,2431.56
Rwanda,USD,Upfront,39.99,28.0,33.99
São Tomé and Príncipe,USD,Upfront,39.99,28.0,33.99
Saudi Arabia,SAR,Upfront,179.99,109.56,133.04
Senegal,USD,Upfront,49.99,29.66,36.01
Serbia,EUR,Upfront,44.99,26.24,31.87
Seychelles,USD,Upfront,39.99,28.0,33.99
Sierra Leone,USD,Upfront,39.99,28.0,33.99
Singapore,SGD,Upfront,59.98,38.52,46.77
Slovakia,EUR,Upfront,44.99,25.6,31.09
Slovenia,EUR,Upfront,44.99,25.81,31.35
Solomon Islands,USD,Upfront,39.99,28.0,33.99
South Africa,ZAR,Upfront,799.99,486.95,591.3
Spain,EUR,Upfront,44.99,25.91,31.53
Sri Lanka,USD,Upfront,39.99,28.0,33.99
St. Kitts and Nevis,USD,Upfront,39.99,28.0,33.99
St. Lucia,USD,Upfront,39.99,28.0,33.99
St. Vincent and the Grenadines,USD,Upfront,39.99,28.0,33.99
Suriname,USD,Upfront,39.99,25.45,30.9
Sweden,SEK,Upfront,499.0,279.44,339.32
Switzerland,CHF,Upfront,35.0,22.66,27.52
Taiwan,TWD,Upfront,1290,834,1013
Tajikistan,USD,Upfront,39.99,24.56,29.82
Tanzania,TZS,Upfront,99900.0,57484.83,69803.01
Thailand,THB,Upfront,1490.0,974.77,1183.64
Tonga,USD,Upfront,39.99,28.0,33.99
Trinidad and Tobago,USD,Upfront,39.99,28.0,33.99
Tunisia,USD,Upfront,39.99,28.0,33.99
Türkiye,TRY,Upfront,1999.99,1108.33,1345.83
Turkmenistan,USD,Upfront,39.99,28.0,33.99
Turks and Caicos Islands,USD,Upfront,39.99,28.0,33.99
Uganda,USD,Upfront,49.99,28.17,34.21
Ukraine,USD,Upfront,49.99,29.16,35.41
United Arab Emirates,AED,Upfront,149.99,99.99,121.42
United Kingdom,GBP,Upfront,39.99,23.19,28.24
United States,USD,Upfront,39.99,28.0,33.99
Uruguay,USD,Upfront,39.99,27.1,33.44
Uzbekistan,USD,Upfront,39.99,24.99,30.35
Vanuatu,USD,Upfront,39.99,28.0,33.99
Venezuela,USD,Upfront,39.99,28.0,33.99
Vietnam,VND,Upfront,1199000,755370,917235
Yemen,USD,Upfront,39.99,28.0,33.99
